Tabla 2,205-02-01-01-01-01,FACULTATIVO,,,,2239508.86,,2239508.86,
Tabla 2,205-03-,CUENTAS CORRIENTES CON INTERMEDIARIOS,15238569.68,,,94043345.47,,73223102.27,
Tabla 2,205-03-01-,DEL PAIS,15238569.68,,,86274149.73,,65453906.53,
Tabla 2,205-03-01-01-,DEL PAIS,15238569.68,,,86274149.73,,65453906.53,
Tabla 2,205-03-01-01-01-,DEL PAIS,15238569.68,,,86274149.73,,65453906.53,
Tabla 2,205-03-01-01-01-03,CONTRATO,2857763,,,66206473.26,,46913161.88,
Tabla 2,205-03-01-01-01-04,CONTRATO NO PROPORCIONAL,12380806.68,,,20067676.47,,18540744.65,
Tabla 2,205-03-02-,DEL EXTRANJERO,,,,7769195.74,,7769195.74,
Tabla 2,205-03-02-01-,DEL EXTRANJERO,,,,7769195.74,,7769195.74,
Tabla 2,205-03-02-01-01-,DEL EXTRANJERO,,,,7769195.74,,7769195.74,
Tabla 2,205-03-02-01-01-04,CONTRATO NO PROPORCIONAL,,,,7769195.74,,7769195.74,
Tabla 2,205-04-,RESERVA DE PRIMAS A/C RETROCESIONARIOS,25720155.42,,,27087226.42,,25720121.49,
Tabla 2,205-04-02-,TRANSPORTE,1102291.56,,,1551558.02,,1102272.44,
Tabla 2,205-04-02-01-,TRANSPORTE,1102291.56,,,1551558.02,,1102272.44,
Tabla 2,205-04-02-01-01-,TRANSPORTE,1102291.56,,,1551558.02,,1102272.44,
Tabla 2,205-04-02-01-01-01,FACULTATIVO,537665.55,,,399343.78,,537683.44,
Tabla 2,205-04-02-01-01-03,CONTRATO,564626.01,,,1152214.24,,564589,
Tabla 2,205-04-03-,INCENDIO.,19328833.29,,,20323127.34,,19328916.87,
Tabla 2,205-04-03-01-,INCENDIO.,19328833.29,,,20323127.34,,19328916.87,
Tabla 2,205-04-03-01-01-,INCENDIO.,19328833.29,,,20323127.34,,19328916.87,
Tabla 2,205-04-03-01-01-01,FACULTATIVO,18757594.99,,,19850020.11,,18757715.36,
Tabla 2,205-04-03-01-01-03,CONTRATO,571238.3,,,473107.23,,571201.51,
Tabla 2,205-04-04-,ACCIDENTES Y DIVERSOS.,4898918.1,,,4861552.16,,4898813.41,
Tabla 2,205-04-04-01-,ACCIDENTES Y DIVERSOS.,4898918.1,,,4861552.16,,4898813.41,
Tabla 2,205-04-04-01-01-,ACCIDENTES Y DIVERSOS.,4898918.1,,,4861552.16,,4898813.41,
Tabla 2,205-04-04-01-01-01,FACULTATIVO,3351301.96,,,3469836.03,,3351297.28,
Tabla 2,205-04-04-01-01-03,CONTRATO,581277.1,,,591854.14,,581238.83,
Tabla 2,966339.04,,,,,,799861.99,,966277.3
Tabla 2,Código,Descripción,Saldo Inicial,Debitos,,,,,Créditos
Tabla 2,205-04-04-01-01-04,CONTRATO NO PROPORCIONAL,966339.04,799861.99,,,,,966277.3
Tabla 2,205-04-05-,FIANZAS.,390112.47,350988.9,,,,,390118.77
Tabla 2,205-04-05-01-,FIANZAS.,390112.47,350988.9,,,,,390118.77
Tabla 2,205-04-05-01-01-,FIANZAS.,390112.47,350988.9,,,,,390118.77
Tabla 2,205-04-05-01-01-01,FACULTATIVO,378729.72,343571.56,,,,,378736.96
Tabla 2,205-04-05-01-01-03,CONTRATO,11382.75,7417.34,,,,,11381.81
Tabla 2,205-05-,RESERVAS PARA PRESTACIONES Y SINIESTRO S PENDIEN,1212301.4,746634.14,,,,,
Tabla 2,205-05-03-,INCENDIO.,1201564.69,737454.4,,,,,
Tabla 2,205-05-03-01-,INCENDIO.,1201564.69,737454.4,,,,,
Tabla 2,205-05-03-01-01-,INCENDIO.,1201564.69,737454.4,,,,,
Tabla 2,205-05-03-01-01-01,FACULTATIVO,1201564.69,737454.4,,,,,
Tabla 2,205-05-04-,ACCIDENTES Y DIVERSOS.,10736.71,9179.74,,,,,
Tabla 2,205-05-04-01-,ACCIDENTES Y DIVERSOS.,10736.71,9179.74,,,,,
Tabla 2,205-05-04-01-01-,ACCIDENTES Y DIVERSOS.,10736.71,9179.74,,,,,
Tabla 2,205-05-04-01-01-01,FACULTATIVO,10736.71,9179.74,,,,,
Tabla 2,206-,CUENTAS DEUDORAS DIVERSAS,499474.82,925372.45,,,,,942542.27
Tabla 2,206-01-,CUENTAS CORRIENTES,17766.58,55360.85,,,,,52089.7
Tabla 2,206-01-01-,CUENTAS CORRIENTES,17766.58,55360.85,,,,,52089.7
Tabla 2,206-01-01-01-,CUENTAS CORRIENTES,17766.58,55360.85,,,,,52089.7
Tabla 2,206-01-01-01-01-,CUENTAS CORRIENTES,17766.58,55360.85,,,,,52089.7
Tabla 2,206-01-01-01-01-01,CUENTAS DEUDORAS DIVERSAS,1251.52,,,,,,
Tabla 2,206-01-01-01-01-15,ANTICIPOS PROVEEDORES,16515.06,55360.85,,,,,52089.7
Tabla 2,206-02-,PRESTAMOS A EMPLEADOS,481708.24,870011.6,,,,,890452.57
Tabla 2,206-02-01-,PRESTAMOS A EMPLEADOS,481708.24,870011.6,,,,,890452.57
Tabla 2,206-02-01-01-,PRESTAMOS A EMPLEADOS,481708.24,870011.6,,,,,890452.57
Tabla 2,206-02-01-01-01-,PRESTAMOS A EMPLEADOS,481708.24,870011.6,,,,,890452.57
Tabla 2,206-02-01-01-01-01,PRESTAMOS A EMPLEADOS,481708.24,870011.6,,,,,890452.57
Tabla 2,207-,BENEFICIOS DEVENGADOS POR COBRAR,14593.42,1829.34,,,,,16000
Tabla 2,207-01-,INTERESES,14593.42,1829.34,,,,,16000
Tabla 2,207-01-04-,VALORES PUBLICOS,14593.42,1829.34,,,,,16000
Tabla 2,207-01-04-01-,VALORES PUBLICOS,14593.42,1829.34,,,,,16000
Tabla 2,207-01-04-01-01-,VALORES PUBLICOS,14593.42,1829.34,,,,,16000
Tabla 2,207-01-04-01-01-01,VALORES PUBLICOS,14593.42,1829.34,,,,,16000
Tabla 2,208-,ACTIVOS TRANSITORIOS,880970.11,1700315.97,,,,,1658250.54
Tabla 2,208-01-,CARGOS DIFERIDOS DE REASEGURO ACEPTADO,1177.25,1402804.81,,,,,1402804.81
Tabla 2,208-01-01-,AJUSTE PROVISIONAL DE RESERVAS,1177.25,1402804.81,,,,,1402804.81
Tabla 2,208-01-01-01-,AJUSTE PROVISIONAL DE RESERVAS,1177.25,1402804.81,,,,,1402804.81
Tabla 2,208-01-01-01-01-,AJUSTE PROVISIONAL DE RESERVAS,1177.25,1402804.81,,,,,1402804.81
Tabla 2,208-01-01-01-01-02,CARGOS DIFERIDOS P/REASEGURO,1177.25,1402804.81,,,,,1402804.81
Tabla 2,208-02-,OTROS CARGOS DIFERIDOS,879792.86,297511.16,,,,,255445.73
Tabla 2,208-02-03-,GASTOS ANTICIPADOS,721728.69,237484.5,,,,,255445.73
Tabla 2,208-02-03-02-,OTROS,721728.69,237484.5,,,,,255445.73
Tabla 2,208-02-03-02-01-,OTROS,721728.69,237484.5,,,,,255445.73
Tabla 2,208-02-03-02-01-01,OTROS GASTOS PAGADOS POR ANTICIPADO,721728.69,237484.5,,,,,255445.73
Tabla 2,208-02-04-,IMPUESTOS PAGADOS POR ANTICIPADO,158064.17,60026.66,,,,,
Tabla 2,208-02-04-01-,IMPUESTOS PAGADOS POR ANTICIPADO,158064.17,60026.66,,,,,
Tabla 2,208-02-04-01-01-,IMPUESTOS PAGADOS POR ANTICIPADO,158064.17,60026.66,,,,,
Tabla 2,208-02-04-01-01-01,IMPUESTOS PAGADOS POR ANTICIPADO,158064.17,60026.66,,,,,
Tabla 2,214-,CUENTAS DE ORDEN,48872405.74,108613982.5,,,,,106060242.1
Tabla 2,214-01-,PRIMAS EMITIDAS AL COBRO,48872405.74,108613982.5,,,,,106060242.1
Tabla 2,214-01-01-,PRIMAS EMITIDAS AL COBRO,48872405.74,108613982.5,,,,,106060242.1
Tabla 2,214-01-01-01-,PRIMAS EMITIDAS AL COBRO,48872405.74,108613982.5,,,,,106060242.1
Tabla 2,Código,Descripción,Saldo Inicial,,,Debitos,,Créditos,
Tabla 2,214-01-01-01-01-,PRIMAS EMITIDAS AL COBRO,48872405.74,,,108613982.5,,106060242.1,
Tabla 2,214-01-01-01-01-01,PRIMAS EMITIDAS AL COBRO FACULTATIVO,3869123.17,,,67260472.69,,58955185.23,
Tabla 2,214-01-01-01-01-02,NEGOCIOS ACEPTADOS,45003282.57,,,39251735.55,,45003282.57,
Tabla 2,214-01-01-01-01-03,PRIMAS EMITIDAS AL COBRO CONTRATO,,,,2101774.25,,2101774.25,
Tabla 2,301-,PRESTACIONES Y SINIESTROS PAGADOS,7809331.32,,,4851552.67,,4097902.16,
Tabla 2,301-01-,PRESTACIONES PAGADAS,,,,1373237.64,,1373237.64,
Tabla 2,301-01-02-,NEGOCIOS EXTRANJEROS,,,,21450.6,,21450.6,
Tabla 2,301-01-02-01-,VIDA,,,,21450.6,,21450.6,
Tabla 2,301-01-02-01-01-,TRANSPORTE,,,,21450.6,,21450.6,
Tabla 2,301-01-02-01-01-03,CONTRATO,,,,21450.6,,21450.6,
Tabla 2,301-01-03-,INCENDIO,,,,1351787.04,,1351787.04,
Tabla 2,301-01-03-01-,INCENDIO,,,,1351787.04,,1351787.04,
Tabla 2,301-01-03-01-01-,INCENDIO,,,,1351787.04,,1351787.04,
Tabla 2,301-01-03-01-01-01,FACULTATIVO,,,,1239174.26,,1239174.26,
Tabla 2,301-01-03-01-01-03,CONTRATO,,,,112612.78,,112612.78,
Tabla 2,301-02-,SINIESTROS PAGADOS,7809331.32,,,3478315.03,,2724664.52,
Tabla 2,301-02-01-,NEGOCIOS NACIONALES,5084666.8,,,3478315.03,,,
Tabla 2,301-02-01-02-,TRANSPORTE,45209.98,,,33038.78,,,
Tabla 2,301-02-01-02-01-,TRANSPORTE,45209.98,,,33038.78,,,
Tabla 2,301-02-01-02-01-01,FACULTATIVO,45209.98,,,21450.6,,,
Tabla 2,301-02-01-02-01-03,CONTRATO NO PROPORCIONAL,,,,11588.18,,,
Tabla 2,301-02-01-03-,INCENDIO,3793130.25,,,2659300.96,,,
Tabla 2,301-02-01-03-01-,INCENDIO,3793130.25,,,2659300.96,,,
Tabla 2,301-02-01-03-01-01,FACULTATIVO,3043957.34,,,1461323.86,,,
Tabla 2,301-02-01-03-01-03,CONTRATO PROPORCIONAL,749172.91,,,1197977.1,,,
Tabla 2,301-02-01-04-,ACCIDENTES Y DIVERSOS,1246326.57,,,785975.29,,,
Tabla 2,301-02-01-04-01-,ACCIDENTES Y DIVERSOS,1246326.57,,,785975.29,,,
Tabla 2,301-02-01-04-01-01,FACULTATIVO,403226.14,,,,,,
Tabla 2,301-02-01-04-01-03,CONTRATO PROPORCIONAL,843100.43,,,785975.29,,,
Tabla 2,301-02-02-,NEGOCIOS EXTRANJEROS,11588.18,,,,,11588.18,
Tabla 2,301-02-02-01-,VIDA,11588.18,,,,,11588.18,
Tabla 2,301-02-02-01-01-,TRANSPORTE,11588.18,,,,,11588.18,
Tabla 2,301-02-02-01-01-03,CONTRATO,11588.18,,,,,11588.18,
Tabla 2,301-02-03-,INCENDIO,1927101.05,,,,,1927101.05,
Tabla 2,301-02-03-01-,INCENDIO,1927101.05,,,,,1927101.05,
Tabla 2,301-02-03-01-01-,INCENDIO,1927101.05,,,,,1927101.05,
Tabla 2,301-02-03-01-01-01,FACULTATIVO,841736.73,,,,,841736.73,
Tabla 2,301-02-03-01-01-03,CONTRATO,1085364.32,,,,,1085364.32,
Tabla 2,301-02-04-,ACCIDENTES Y DIVERSOS,785975.29,,,,,785975.29,
Tabla 2,301-02-04-01-,ACCIDENTES Y DIVERSOS,785975.29,,,,,785975.29,
Tabla 2,301-02-04-01-01-,ACCIDENTES Y DIVERSOS,785975.29,,,,,785975.29,
Tabla 2,301-02-04-01-01-03,CONTRATO,785975.29,,,,,785975.29,
Tabla 2,302-,GASTOS DE ADQUISICION,14686327.08,,,3685391.98,,,
Tabla 2,302-01-,COMISIONES,11650627.09,,,3088396.14,,,
Tabla 2,302-01-01-,NEGOCIOS NACIONALES,11650627.09,,,3088396.14,,,
Tabla 2,302-01-01-02-,TRANSPORTE,2213400.15,,,1207256.39,,,
Tabla 2,302-01-01-02-01-,TRANSPORTE,2213400.15,,,1207256.39,,,
Tabla 2,302-01-01-02-01-01,FACULTATIVO,386576.79,,,25177.35,,,
Tabla 2,302-01-01-02-01-03,CONTRATO,1826823.36,,,1182079.04,,,
Tabla 2,302-01-01-03-,INCENDIO,6743542.67,,,1605327.78,,,
Tabla 2,302-01-01-03-01-,INCENDIO,6743542.67,,,1605327.78,,,
Tabla 2,302-01-01-03-01-01,FACULTATIVO,2922412.45,,,1439635.59,,,
Tabla 2,3821130.22,,,,,,165692.19,,
Tabla 2,Código,Descripción,Saldo Inicial,,,,Debitos,,Créditos
Tabla 2,302-01-01-03-01-03,CONTRATO,3821130.22,,,,165692.19,,
Tabla 2,302-01-01-04-,ACCIDENTES Y DIVERSOS,2444060.91,,,,275811.97,,
Tabla 2,302-01-01-04-01-,ACCIDENTES Y DIVERSOS,2444060.91,,,,275811.97,,
Tabla 2,302-01-01-04-01-01,FACULTATIVO,826915.15,,,,86450.29,,
Tabla 2,302-01-01-04-01-03,CONTRATO,1617145.76,,,,189361.68,,
Tabla 2,302-01-01-05-,FIANZAS,249623.36,,,,,,
Tabla 2,302-01-01-05-01-,FIANZAS,249623.36,,,,,,
Tabla 2,302-01-01-05-01-01,FACULTATIVO,197004.3,,,,,,
Tabla 2,302-01-01-05-01-03,CONTRATO,52619.06,,,,,,
Tabla 2,302-02-,CORRETAJE DE INTERMEDIARIOS.,661521.86,,,,,,
Tabla 2,302-02-01-,NEGOCIOS NACIONALES,661521.86,,,,,,
Tabla 2,302-02-01-02-,TRANSPORTE,4191.91,,,,,,
Tabla 2,302-02-01-02-01-,TRANSPORTE,4191.91,,,,,,
Tabla 2,302-02-01-02-01-03,CONTRATO,4191.91,,,,,,
Tabla 2,302-02-01-03-,INCENDIO,109812.01,,,,,,
Tabla 2,302-02-01-03-01-,INCENDIO,109812.01,,,,,,
Tabla 2,302-02-01-03-01-03,CONTRATO,109812.01,,,,,,
Tabla 2,302-02-01-04-,ACCIDENTES Y DIVERSOS,547517.94,,,,,,
Tabla 2,302-02-01-04-01-,ACCIDENTES Y DIVERSOS,547517.94,,,,,,
Tabla 2,302-02-01-04-01-03,CONTRATO,13427.8,,,,,,
Tabla 2,302-02-01-04-01-04,CONTRATO NO PROPORCIONAL,534090.14,,,,,,
Tabla 2,302-03-,IMPUESTOS,2259445.56,,,,596995.84,,
Tabla 2,302-03-01-,NEGOCIOS NACIONALES,2259445.56,,,,596995.84,,
Tabla 2,302-03-01-02-,TRANSPORTE,421496.57,,,,223594.86,,
Tabla 2,302-03-01-02-01-,IMPUESTOS MUNICIPALES,354167.83,,,,219106.49,,
Tabla 2,302-03-01-02-01-01,FACULTATIVO,50463.2,,,,2693.23,,
Tabla 2,302-03-01-02-01-03,CONTRATO,303704.63,,,,216413.26,,
Tabla 2,302-03-01-02-02-,APORTE A LA SUPERINTENDENCIA,67328.74,,,,4488.37,,
Tabla 2,302-03-01-02-02-01,FACULTATIVO,67328.74,,,,4488.37,,
Tabla 2,302-03-01-03-,INCENDIO,1101131.35,,,,309979.43,,
Tabla 2,302-03-01-03-01-,IMPUESTOS MUNICIPALES,790279.11,,,,137754.05,,
Tabla 2,302-03-01-03-01-01,FACULTATIVO,235641.59,,,,107867.3,,
Tabla 2,302-03-01-03-01-03,CONTRATO,554637.52,,,,29886.75,,
Tabla 2,302-03-01-03-02-,APORTE A LA SUPERINTENDENCIA,310852.24,,,,172225.38,,
Tabla 2,302-03-01-03-02-01,FACULTATIVO,310852.24,,,,172225.38,,
Tabla 2,302-03-01-04-,ACCIDENTES Y DIVERSOS,694602.08,,,,63421.55,,
Tabla 2,302-03-01-04-01-,IMPUESTOS MUNICIPALES,445584.18,,,,45468.33,,
Tabla 2,302-03-01-04-01-01,FACULTATIVO,76140.96,,,,10777.88,,
Tabla 2,302-03-01-04-01-03,CONTRATO,262509.25,,,,34690.45,,
Tabla 2,302-03-01-04-01-04,CONTRATO NO PROPORCIONAL,106933.97,,,,,,
Tabla 2,302-03-01-04-02-,APORTE A LA SUPERINTENDENCIA,249017.9,,,,17953.22,,
Tabla 2,302-03-01-04-02-01,FACULTATIVO,108344.27,,,,17953.22,,
Tabla 2,302-03-01-04-02-04,CONTRATO NO PROPORCIONAL,140673.63,,,,,,
Tabla 2,302-03-01-05-,FIANZAS.,42215.56,,,,,,
Tabla 2,302-03-01-05-01-,IMPUESTOS MUNICIPALES,19608.22,,,,,,
Tabla 2,302-03-01-05-01-01,FACULTATIVO,13563.8,,,,,,
Tabla 2,302-03-01-05-01-03,CONTRATO,6044.42,,,,,,
Tabla 2,302-03-01-05-02-,APORTE A LA SUPERINTENDENCIA,22607.34,,,,,,
Tabla 2,302-03-01-05-02-01,FACULTATIVO,22607.34,,,,,,
Tabla 2,302-04-,PARTICIPACION DE CEDENTES EN UTILIDADES.,114732.57,,,,,,
Tabla 2,302-04-01-,NEGOCIOS NACIONALES,114732.57,,,,,,
Tabla 2,302-04-01-02-,TRANSPORTE,22677.95,,,,,,
Tabla 2,Código,Descripción,Saldo Inicial,,,,Debitos,,Créditos
Tabla 2,302-04-01-02-01-,TRANSPORTE,22677.95,,,,,,
Tabla 2,302-04-01-02-01-03,CONTRATO,22677.95,,,,,,
Tabla 2,302-04-01-03-,INCENDIO,23727.11,,,,,,
Tabla 2,302-04-01-03-01-,INCENDIO,23727.11,,,,,,
Tabla 2,302-04-01-03-01-03,CONTRATO,23727.11,,,,,,
Tabla 2,302-04-01-04-,ACCIDENTES Y DIVERSOS,28201.63,,,,,,
Tabla 2,302-04-01-04-01-,ACCIDENTES Y DIVERSOS,28201.63,,,,,,
Tabla 2,302-04-01-04-01-03,CONTRATO,28201.63,,,,,,
Tabla 2,302-04-01-05-,FIANZAS.,40125.88,,,,,,
Tabla 2,302-04-01-05-01-,FIANZAS.,40125.88,,,,,,
Tabla 2,302-04-01-05-01-03,CONTRATO,40125.88,,,,,,
Tabla 2,303-,PRIMAS RETROCEDIDAS,50901817.42,,,,21728590.1,,10864295.05
Tabla 2,303-01-,AL PAIS,,,,,10864295.05,,10864295.05
Tabla 2,303-01-01-,DE NEGOCIOS NACIONALES.,,,,,10864295.05,,10864295.05
Tabla 2,303-01-01-02-,TRANSPORTE,,,,,2454691.4,,2454691.4
Tabla 2,303-01-01-02-01-,TRANSPORTE,,,,,2454691.4,,2454691.4
Tabla 2,303-01-01-02-01-01,FACULTATIVO,,,,,2454691.4,,2454691.4
Tabla 2,303-01-01-03-,INCENDIO,,,,,7174799.53,,7174799.53
Tabla 2,303-01-01-03-01-,INCENDIO,,,,,7174799.53,,7174799.53
Tabla 2,303-01-01-03-01-01,FACULTATIVO,,,,,7174799.53,,7174799.53
Tabla 2,303-01-01-04-,ACCIDENTES Y DIVERSOS,,,,,1234804.12,,1234804.12
Tabla 2,303-01-01-04-01-,ACCIDENTES Y DIVERSOS,,,,,1234804.12,,1234804.12
Tabla 2,303-01-01-04-01-01,FACULTATIVO,,,,,1234804.12,,1234804.12
Tabla 2,303-02-,AL EXTERIOR,50901817.42,,,,10864295.05,,
Tabla 2,303-02-01-,NEGOCIOS NACIONALES,50901817.42,,,,10864295.05,,
Tabla 2,303-02-01-02-,TRANSPORTE,5514396.71,,,,2454691.4,,
